,,,,,,,,,,
不具合品確認タイミング,,,,,,,,,,
,,,,,,,,,,
,品番,品名,メーカー,不良内容,,,,,,
社内受け入れ時,,,,,,,,,,
,EX002465-12,H12　Custom,"Skydroid Co., Ltd",ステッィク、モニター,,,,,,
,バッテリ,,,,,,,,,
,充電器,,,,,,,,,
,EX000895,粒剤タンク 13.5L,FAモールディング,穴位置、インサート、端面処理、重量、異物混入,,,,,,
,EX000762-04,Liquid　Tank　9L,FAモールディング,インサート、異物混入,,,,,,
,EXA000029-11,Boom(Assy),,キズ、リベット,,,,,,
,EXA000027-11,Leg(Assy),,キズ、リベット,,,,,,
,EX002050-02,FA28.2*9.2　R　,T-motor,汚れ、キズ、仕上げ、印刷のカスレ,,,,,,
,EX002049-02,FA28.2*9.2　L,T-motor,汚れ、キズ、仕上げ、印刷のカスレ,,,,,,
,EX000930,ハウジング,金森産業（株）,インサート不良,,,,,,
,EX001999-31,AC102カウル 前後シール付き 補強あり,緑川化成工業（株）,整形不良、貼付シールの傾き,,,,,,
,,,,,,,,,,
ナカヨ製造時,,,,,,,,,,
,EXA000008-11,Battery lock handle Assy,Api,振動、動作,,,,,,
,,送信機,"Skydroid Co., Ltd",スティック、液晶画面、電源系、ソフトウェア,,,,,,
,,粒剤タンク,FAモールディング,穴位置、インサート、端面処理、重量、異物混入,,,,,,
,,液剤タンク,FAモールディング,インサート、異物混入,,,,,,
,,サーボ,,動作音大,,,,,,
,,ハウジング,金森産業（株）,インサート不良,,,,,,
,,駆動ギヤホーン,,穴サイズ,,,,,,
,,カウル,,整形不良、貼付シールの傾き,,,,,,
,,粒剤基板,,,,,,,,
客先運用時,,,,,,,,,,
,,タンクキャップ,金森産業（株）,蓋が閉まらない,,,,,,
,,モーター,T-motor,運用中停止,,,,,,
,,バッテリ,Grepow,バランスモードに入る、充電が完了しない,,,,,,
,,充電器,EV-PEAK,1次側破損、片側ポート破損、バランス端子接触不良,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
