変換前,変換後,適用理由,登録日
,（未記入）,空欄を統一,2026-03-06
0,（未記入）,数字は無効値,2026-03-06
1,（未記入）,数字は無効値,2026-03-06
2,（未記入）,数字は無効値,2026-03-06
3,（未記入）,数字は無効値,2026-03-06
4,（未記入）,数字は無効値,2026-03-06
13,（未記入）,数字は無効値,2026-03-06
14,（未記入）,数字は無効値,2026-03-06
?,（未記入）,不明値を統一,2026-03-06
ー,（未記入）,ダッシュは未記入扱い,2026-03-06
不良数量,（未記入）,誤入力（列ずれ）,2026-03-06
検査内容,（未記入）,ヘッダ行混入,2026-03-06
外観のみ,外観,意味同一,2026-03-06
外観確認,外観,意味同一,2026-03-06
外観員数,外観+員数,区切りなしを+に統一,2026-03-06
"外観、員数",外観+員数,読点を+に統一,2026-03-06
外観寸法,外観+寸法,区切りなしを+に統一,2026-03-06
外観・寸法,外観+寸法,中黒を+に統一,2026-03-06
外観　寸法,外観+寸法,全角スペースを+に統一,2026-03-06
外観員数寸法,外観+員数+寸法,区切りなしを+に統一,2026-03-06
外観極性,外観+極性,区切りなしを+に統一,2026-03-06
外観・極性,外観+極性,中黒を+に統一,2026-03-06
外観通電,外観+通電,区切りなしを+に統一,2026-03-06
外観　通電,外観+通電,全角スペースを+に統一,2026-03-06
外観・動作,外観+動作,中黒を+に統一,2026-03-06
外観コネクタ,外観+コネクタ,区切りなしを+に統一,2026-03-06
"外観、ハーネス",外観+ハーネス,読点を+に統一,2026-03-06
外観・ログ抜き,外観+ログ抜き,中黒を+に統一,2026-03-06
外観 Fw upログ抜き,外観+FWアップ+ログ抜き,複合を+に統一,2026-03-06
外観FWを6.1に。,外観+FWアップ,FWアップデート作業,2026-03-06
外観・キャリブレーション,外観+キャリブレーション,中黒を+に統一,2026-03-06
外観抜き取り,外観+抜き取り,区切りなしを+に統一,2026-03-06
外観・抜き取りはハンダ確認,外観+抜き取り,詳細をシンプル化,2026-03-06
外観全数・抜き取り7個,外観+抜き取り,詳細をシンプル化,2026-03-06
外観と抜き取りでハンダの状態,外観+抜き取り,詳細をシンプル化,2026-03-06
Log抜き取り,ログ抜き,表記統一,2026-03-06
配線長外観,外観+配線長,順序入れ替えて統一,2026-03-06
外装／電装品動作チェック／シール貼り,外装+動作確認+シール貼り,スラッシュを+に統一,2026-03-06
先方からの検査表の確認のみ,書類確認,詳細をシンプル化,2026-03-06
